,Ingham,Kent,Macomb,Oakland,Washtenaw,Wayne
2021-04-22,19.93,50.45,64.98,54.66,25.77,43.38
2021-04-23,17.13,58.22,69.49,60.26,30.01,44.75
2021-04-24,14.83,61.01,68.19,57.39,31.71,41.55
2021-04-25,14.67,43.15,58.57,48.52,28.09,41.21
2021-04-26,16.87,51.39,69.97,62.32,32.51,46.19
2021-04-27,18.27,52.4,70.72,56.9,30.26,47.27
2021-04-28,15.7,50.62,72.49,62.99,34.65,43.0
2021-04-29,15.24,48.25,68.67,57.44,35.12,41.59
2021-04-30,15.85,66.41,70.99,63.8,33.74,48.82
2021-05-01,14.9,56.2,74.54,60.39,28.38,46.6
2021-05-02,14.45,47.3,68.74,60.62,27.84,45.22
2021-05-03,16.6,55.91,69.9,63.44,26.71,46.6
2021-05-04,15.66,61.66,71.74,63.08,35.48,44.35
2021-05-05,17.47,55.31,70.78,63.58,30.12,45.12
2021-05-06,14.98,50.68,69.08,62.41,32.55,44.25
2021-05-07,14.64,51.75,70.24,65.14,26.13,48.02
2021-05-08,13.99,56.8,62.66,69.22,30.81,45.5
2021-05-09,10.02,41.66,53.38,52.37,20.55,38.3
2021-05-10,16.11,52.58,77.06,56.0,23.6,47.48
2021-05-11,18.8,55.85,65.6,65.05,27.47,47.46
2021-05-12,16.57,59.29,74.2,65.23,30.84,48.38
2021-05-13,20.5,61.78,70.1,64.38,27.55,48.6
2021-05-14,18.12,60.42,80.27,73.21,29.61,50.72
2021-05-15,16.23,52.7,73.99,74.01,25.12,51.57
2021-05-16,14.49,46.47,68.94,61.07,22.07,42.93
2021-05-17,18.57,59.76,69.97,59.63,28.16,48.99
2021-05-18,16.68,65.46,85.53,59.86,30.99,50.07
2021-05-19,19.82,59.35,77.13,64.78,33.6,49.76
2021-05-20,17.1,60.06,74.27,68.46,27.65,51.66
2021-05-21,15.47,58.4,89.22,76.16,32.62,57.21
